時間帯,年齢,性別,来場者数
2018-08-26 12:00:00,10代,女性,2
2018-08-26 12:00:00,30代,女性,1
2018-08-26 12:00:00,30代,男性,3
2018-08-26 12:00:00,50代,男性,3
2018-08-26 14:00:00,10代,女性,1
2018-08-26 14:00:00,30代,男性,1
2018-08-26 15:00:00,30代,女性,2
2018-08-26 16:00:00,10代,女性,2
2018-08-26 16:00:00,30代,男性,2
2018-08-26 17:00:00,10代,女性,1
2018-08-27 15:00:00,50代,女性,1
2018-08-28 08:00:00,10代,女性,2
2018-08-28 08:00:00,30代,女性,1
2018-08-28 13:00:00,30代,女性,1
2018-08-28 14:00:00,10代,女性,1
2018-08-28 14:00:00,30代,女性,2
2018-08-28 14:00:00,30代,男性,1
2018-08-28 14:00:00,50代,女性,1
2018-08-28 15:00:00,30代,女性,1
2018-08-28 16:00:00,30代,女性,2
2018-08-28 16:00:00,50代,女性,1
2018-08-29 08:00:00,10代,女性,2
2018-08-29 08:00:00,30代,女性,3
2018-08-29 08:00:00,30代,男性,3
2018-08-29 08:00:00,50代,女性,2
2018-08-29 10:00:00,10代,女性,1
2018-08-29 10:00:00,10代,男性,1
2018-08-29 10:00:00,50代,男性,1
2018-08-29 12:00:00,30代,女性,1
2018-08-30 09:00:00,10代,男性,1
2018-08-30 09:00:00,30代,女性,1
2018-08-30 09:00:00,50代,男性,1
2018-08-30 09:00:00,70代以上,男性,1
2018-08-30 10:00:00,10代,女性,1
2018-08-30 10:00:00,30代,女性,2
2018-08-30 10:00:00,50代,女性,2
2018-08-30 10:00:00,50代,男性,1
2018-08-30 11:00:00,10代,男性,2
2018-08-30 11:00:00,30代,女性,1
2018-08-30 11:00:00,30代,男性,2
2018-08-30 11:00:00,50代,男性,1
2018-08-31 08:00:00,50代,男性,1
2018-08-31 10:00:00,10代,男性,1
2018-08-31 10:00:00,30代,女性,1
2018-08-31 10:00:00,50代,女性,1
2018-08-31 10:00:00,50代,男性,1
2018-08-31 11:00:00,10代,女性,1
2018-08-31 11:00:00,50代,男性,1
2018-08-31 12:00:00,10代,女性,1
2018-08-31 13:00:00,10代,女性,1
2018-08-31 13:00:00,10代,男性,1
2018-08-31 13:00:00,30代,男性,1
2018-08-31 14:00:00,30代,女性,1
2018-08-31 14:00:00,30代,男性,1
2018-08-31 14:00:00,50代,女性,3
2018-08-31 15:00:00,10代,男性,1
2018-09-02 11:00:00,50代,男性,1
2018-09-02 12:00:00,10代,女性,2
2018-09-02 12:00:00,10代,男性,1
2018-09-02 12:00:00,30代,女性,1
2018-09-02 12:00:00,50代,女性,4
2018-09-02 13:00:00,10代,女性,1
2018-09-02 13:00:00,30代,女性,2
2018-09-02 13:00:00,30代,男性,1
2018-09-02 13:00:00,50代,男性,1
2018-09-02 14:00:00,10代,男性,2
2018-09-02 14:00:00,30代,女性,1
2018-09-02 14:00:00,30代,男性,2
2018-09-02 14:00:00,50代,女性,1
2018-09-02 14:00:00,50代,男性,1
2018-09-02 15:00:00,10代,女性,1
2018-09-02 15:00:00,30代,男性,2
2018-09-02 15:00:00,50代,男性,1
2018-09-02 16:00:00,10代,女性,1
2018-09-02 16:00:00,30代,女性,1
2018-09-02 17:00:00,10代,女性,1
2018-09-02 17:00:00,50代,男性,1
2018-09-05 13:00:00,10代,女性,8
2018-09-05 13:00:00,10代,男性,2
2018-09-05 13:00:00,30代,女性,2
2018-09-05 13:00:00,30代,男性,2
2018-09-05 13:00:00,50代,女性,3
2018-09-05 13:00:00,50代,男性,2
2018-09-05 15:00:00,50代,女性,1
2018-09-05 16:00:00,30代,男性,2
2018-09-05 16:00:00,50代,男性,1
2018-09-05 17:00:00,50代,男性,1
2018-09-06 11:00:00,10代,男性,1
2018-09-06 11:00:00,30代,男性,1
2018-09-06 12:00:00,10代,男性,1
2018-09-07 08:00:00,10代,女性,1
2018-09-07 10:00:00,10代,女性,1
2018-09-07 10:00:00,50代,女性,1
2018-09-07 11:00:00,10代,男性,1
2018-09-07 11:00:00,30代,女性,1
2018-09-07 12:00:00,10代,女性,1
2018-09-07 12:00:00,10代,男性,2
2018-09-07 13:00:00,50代,女性,3
2018-09-07 13:00:00,50代,男性,1
2018-09-07 15:00:00,30代,女性,1
2018-09-07 15:00:00,50代,女性,2
2018-09-07 15:00:00,50代,男性,3
2018-09-07 16:00:00,10代,女性,1
2018-09-07 16:00:00,10代,男性,2
2018-09-07 16:00:00,30代,男性,2
2018-09-09 11:00:00,10代,女性,1
2018-09-09 11:00:00,10代,男性,1
2018-09-09 11:00:00,30代,女性,1
2018-09-09 12:00:00,10代,女性,1
2018-09-09 12:00:00,30代,女性,2
2018-09-09 12:00:00,50代,女性,1
2018-09-09 12:00:00,50代,男性,1
2018-09-09 13:00:00,30代,女性,2
2018-09-09 13:00:00,50代,女性,1
2018-09-09 13:00:00,50代,男性,1
2018-09-09 13:00:00,70代以上,男性,1
2018-09-09 14:00:00,50代,女性,1
2018-09-09 15:00:00,10代,女性,4
2018-09-09 15:00:00,10代,男性,1
2018-09-09 15:00:00,30代,女性,1
2018-09-09 15:00:00,50代,男性,1
2018-09-09 16:00:00,10代,女性,1
2018-09-09 16:00:00,30代,女性,1
2018-09-09 17:00:00,30代,女性,1
2018-09-11 14:00:00,10代,女性,1
2018-09-11 14:00:00,10代,男性,1
2018-09-11 14:00:00,30代,男性,1
2018-09-11 14:00:00,50代,女性,1
2018-09-11 14:00:00,70代以上,男性,2
2018-09-11 15:00:00,50代,女性,1
2018-09-11 16:00:00,10代,女性,1
2018-09-11 16:00:00,10代,男性,1
2018-09-11 16:00:00,30代,女性,1
2018-09-11 16:00:00,70代以上,女性,1
2018-09-12 12:00:00,10代,男性,1
2018-09-12 12:00:00,30代,男性,2
2018-09-12 12:00:00,50代,女性,2
2018-09-12 12:00:00,50代,男性,1
2018-09-12 12:00:00,70代以上,男性,1
2018-09-12 15:00:00,10代,男性,1
2018-09-12 15:00:00,30代,女性,1
2018-09-13 11:00:00,30代,女性,1
2018-09-13 11:00:00,50代,女性,2
2018-09-13 16:00:00,10代,女性,3
2018-09-13 16:00:00,30代,男性,1
2018-09-13 16:00:00,50代,女性,3
2018-09-13 16:00:00,70代以上,女性,1
2018-09-13 16:00:00,70代以上,男性,2
2018-09-14 08:00:00,30代,女性,1
2018-09-14 09:00:00,30代,女性,1
2018-09-14 11:00:00,30代,女性,2
2018-09-14 11:00:00,50代,女性,1
2018-09-14 11:00:00,70代以上,女性,1
2018-09-14 12:00:00,30代,女性,1
2018-09-14 12:00:00,50代,女性,2
2018-09-14 13:00:00,10代,女性,1
2018-09-14 13:00:00,30代,女性,2
2018-09-14 13:00:00,30代,男性,2
2018-09-14 13:00:00,50代,女性,2
2018-09-14 13:00:00,70代以上,女性,1
2018-09-14 14:00:00,50代,女性,1
2018-09-14 15:00:00,10代,女性,1
2018-09-14 16:00:00,30代,女性,2
2018-09-14 16:00:00,50代,女性,1
2018-09-15 09:00:00,50代,男性,1
2018-09-16 08:00:00,30代,女性,1
2018-09-16 09:00:00,10代,男性,2
2018-09-16 09:00:00,30代,女性,1
2018-09-16 09:00:00,30代,男性,1
2018-09-16 09:00:00,50代,女性,1
2018-09-16 09:00:00,70代以上,女性,1
2018-09-16 10:00:00,10代,女性,1
2018-09-16 10:00:00,30代,男性,1
2018-09-16 10:00:00,50代,女性,2
2018-09-16 10:00:00,50代,男性,1
2018-09-16 11:00:00,10代,男性,2
2018-09-16 11:00:00,30代,男性,1
2018-09-16 11:00:00,50代,男性,2
2018-09-16 11:00:00,70代以上,女性,1
2018-09-16 11:00:00,70代以上,男性,1
2018-09-16 12:00:00,10代,女性,1
2018-09-16 12:00:00,30代,女性,3
2018-09-16 12:00:00,50代,女性,1
2018-09-16 12:00:00,50代,男性,1
2018-09-16 12:00:00,70代以上,女性,1
2018-09-16 13:00:00,30代,女性,1
2018-09-16 13:00:00,30代,男性,1
2018-09-16 13:00:00,50代,女性,2
2018-09-16 13:00:00,50代,男性,1
2018-09-16 14:00:00,10代,女性,3
2018-09-16 14:00:00,30代,女性,1
2018-09-16 15:00:00,10代,女性,2
2018-09-16 15:00:00,30代,女性,2
2018-09-16 15:00:00,50代,男性,1
2018-09-16 15:00:00,70代以上,男性,1
2018-09-16 16:00:00,10代,女性,2
2018-09-16 16:00:00,30代,男性,1
2018-09-16 16:00:00,50代,女性,2
2018-09-16 17:00:00,30代,女性,1
2018-09-16 17:00:00,30代,男性,1
2018-09-18 13:00:00,10代,女性,1
2018-09-18 14:00:00,30代,女性,1
2018-09-18 15:00:00,10代,男性,3
2018-09-18 15:00:00,30代,女性,1
2018-09-18 16:00:00,30代,女性,1
2018-09-18 16:00:00,50代,男性,1
2018-09-19 10:00:00,30代,女性,3
2018-09-19 10:00:00,30代,男性,1
2018-09-19 10:00:00,不明,女性,1
2018-09-19 11:00:00,30代,女性,2
2018-09-19 11:00:00,50代,男性,2
2018-09-20 08:00:00,70代以上,女性,1
2018-09-20 09:00:00,10代,女性,1
