タイムスタンプ,本キャンペーン(毎月28日は35歳未満の方無料)をどこで知りましたか？
2020-03-28 12:50:25,知らなかった
2020-03-28 12:52:32,知らなかった
2020-03-28 13:03:16,知らなかった
2020-03-28 13:33:18,知らなかった
2020-03-28 13:59:53,知らなかった
2020-03-28 14:09:52,チラシ
2020-03-28 14:13:44,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-03-28 14:16:40,公式Twitter
2020-03-28 14:18:40,知らなかった
2020-03-28 14:22:44,知らなかった
2020-03-28 14:32:15,知らなかった
2020-03-28 14:39:09,公式ホームページ
2020-03-28 14:42:35,知らなかった
2020-03-28 14:47:58,知らなかった
2020-03-28 14:50:02,知らなかった
2020-03-28 14:58:13,公式ホームページ
2020-03-28 14:58:26,知らなかった
2020-03-28 15:13:28,知らなかった
2020-03-28 15:21:07,知らなかった
2020-03-28 15:33:06,知らなかった
2020-03-28 15:36:21,知らなかった
2020-03-28 15:39:41,お知り合い
2020-03-28 15:48:19,公式ホームページ
2020-03-28 16:12:14,公式ホームページ
2020-03-28 16:17:05,他のウェブサイト
2020-03-28 16:31:50,知らなかった
2020-11-28 9:20:41,お知り合い
2020-11-28 9:21:02,公式ホームページ
2020-11-28 9:21:20,チラシ
2020-11-28 9:21:27,お知り合い
2020-11-28 11:55:14,公式ホームページ
2020-11-28 11:55:31,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-11-28 12:12:15,公式ホームページ
2020-11-28 12:12:47,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-11-28 12:13:14,公式ホームページ
2020-11-28 12:31:17,公式ホームページ
2020-11-28 12:54:28,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-11-28 15:23:00,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-11-28 15:23:08,公式ホームページ
2020-11-28 15:23:18,公式ホームページ
2020-11-28 15:23:26,公式Instagram
2020-12-06 9:19:01,公式ホームページ
2020-12-06 9:19:04,公式ホームページ
2020-12-06 9:19:07,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-11-28 9:13:24,公式ホームページ
2021-11-28 9:13:38,公式ホームページ
2021-11-28 9:13:48,公式ホームページ
2021-11-28 9:13:54,公式Instagram
2021-11-28 9:14:02,公式Instagram
2021-11-28 9:14:10,知らなかった
2021-11-28 9:14:17,知らなかった
2021-11-28 9:14:24,公式ホームページ
2021-11-28 9:14:32,公式ホームページ
2021-11-28 9:14:40,公式Instagram
2021-11-28 9:16:31,公式ホームページ
2021-11-28 9:16:58,公式Instagram
2021-11-28 9:17:05,お知り合い
2021-11-28 9:58:06,雑誌・新聞
2021-11-28 10:00:07,お知り合い
2021-11-28 10:00:19,お知り合い
2021-11-28 10:01:50,知らなかった
2021-11-28 10:50:20,公式ホームページ
2021-11-28 10:50:29,公式ホームページ
2021-11-28 10:56:01,お知り合い
2021-11-28 10:56:31,公式ホームページ
